cliente_id,ingreso_mensual,gasto_promedio_mensual,valor_promedio_compra,frecuencia_compra,porcentaje_descuentos,tasa_recompra,antiguedad_cliente,visitas_web_mensuales,tiempo_promedio_sesion,compras_movil_pct,interacciones_app,dispositivos_registrados,cluster_A,cluster_B
1861,5445.285949356043,282.8603570965724,83.49262792499347,1.501997599276827,35.38220224544294,73.7549907580082,11.613134164211482,104.4214050678933,31.535725607440025,80.8003192853762,12.550956648937428,5,0,1
354,7187.244764462718,1142.0349181158986,126.68953008707524,12.994762366549867,6.5916701908864965,88.09945829266326,32.87764724334919,32.05197227085055,21.625306874030045,57.23017594076833,27.013043273705776,1,1,0
1334,3743.777252681684,110.45215128493524,34.54155308129116,1.1336905346650834,64.64091616744989,27.91866446693289,11.286273937442711,8.823965569625205,5.316391516537551,64.78563278258741,35.00321345138376,2,0,0
906,3033.569881191615,272.54504255288464,53.08782444581338,10.794983575207551,68.20438617397497,87.89447087490856,43.001435541007815,28.06543815571036,13.903964898397938,31.89914273969897,24.480340550474303,3,0,0
1290,3920.788606435319,100.47252100762064,58.16525496994765,3.211918505094888,55.22176720009033,26.307533253040727,10.746371257862403,7.454023045856109,5.6977552677713685,90.2501406617564,38.423139280220056,5,0,0
1274,6039.669898354439,88.23397601719157,54.769633747166594,1.4040926868646435,34.357467293067614,26.441018057964868,5.497735225962781,10.370179689320569,6.7976405347127775,95.66257837671075,12.034303335298327,5,0,0
939,2383.1396410907087,224.00957032791092,42.834424805297694,16.30782299250029,83.73682449326668,72.25650310251561,33.333036425052065,49.8080104410344,9.98966999436755,79.85287835282483,29.98689367660261,3,0,0
1732,5547.779504267485,301.75840215674225,58.44408649430271,2.0111680648917165,26.81349420887793,63.91918261269807,17.488665795831967,91.76544004117508,24.2696640040552,58.44608913783148,20.505362136574355,1,0,1
66,7426.066354281428,1525.1234910797325,197.72899973330289,12.829114493845868,24.37476394277899,89.07075138227124,56.85577824910032,32.297813559623435,9.440519455296547,82.09124882876395,32.503756394665714,2,1,0
1324,3465.2020843863133,106.75001675199395,48.98150885370679,0.6633251645456442,38.47498458708007,58.639973548147225,6.159355764947319,8.532209730681485,2.375636036938549,78.12661526914808,32.782972109447,5,0,0
57,5588.368061461601,1234.9330488135545,95.10494886357104,13.477034957466252,12.912631379684145,86.45976030961985,49.45407205229314,36.37384162340125,14.617775535726,43.80643116624199,7.240558784187613,2,1,0
1293,2444.1509907238483,129.98796049753423,39.01078226836293,1.9486143284134656,59.80795401787528,56.34263303442452,6.918294363918198,7.347607994383339,6.290887116235281,88.04122938117936,28.34829831950596,1,0,0
1119,4204.517430716989,151.29183651938916,24.73475572715932,1.0458513193515322,53.9226377930465,54.79098537473373,8.080329898344313,5.2284569966097365,6.948635975106842,29.828958225639937,39.57493502237226,3,0,0
585,2957.043344515949,267.92847680174305,20.643613814620075,10.309677518512553,78.5700536455579,61.7733900089504,12.028610351939395,40.1789873852553,15.573609552160017,31.984261066363235,31.186417361474007,4,0,0
375,8342.882387124699,615.4432241052114,166.8958913118491,13.294263361982065,21.371868579150217,87.08172185637629,52.11493283716824,18.05871881419401,6.531415599849289,79.15844244109184,38.116975385887926,3,1,0
276,6552.694258354499,1300.126704596625,112.5024601857395,12.54049507555461,8.927093491778104,82.3481355799929,47.77575410523298,39.00660595707346,13.84899692414494,52.166313359093344,32.018253417951456,3,1,0
